,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
75.,COOPERATIVE PRODUCTEURS DE PORCS REUNION,1011,2024,"90,281",147,87,90,90,83,147,152,152,"6,283","6,220","6,584","7,023","4,226","4,385","4,797",GUO,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
76.,BOMADEK SP. Z O.O.,1012,2024,"90,195",311,84,90,103,82,311,181,366,-190,"1,720","5,694","5,914","-1,736",58,"3,927",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
77.,VION ADRIAENS,1011,2024,"89,869",64,87,90,92,94,64,70,74,"-10,705","-11,530","-5,876","-6,267","-11,410","-12,856","-7,513",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
78.,INDUSTRIAS CARNICAS DE ELABORACION DE JAMONES Y EMBUTIDOS LOS TRES REYES DE FUENTESPALDA SA,1011,2024,"89,628",208,86,90,78,70,208,204,192,"1,265",-597,-526,-561,766,"-1,014",-907,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
79.,FRIGORIFICOS BANDEIRA S.L.,1011,2024,"89,354",116,86,89,83,89,116,99,97,"7,047","4,063","6,177","6,589","6,493","3,510","5,686",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
80.,ZAKLAD PRZETWORSTWA MIESNEGO ZACZYK SP. Z O.O.,1011,2023,"88,857",308,82,89,7,n.a.,308,284,n.a.,"4,683",137,n.a.,n.a.,"3,938",83,n.a.,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
81.,INDAL S.R.L.,1011,2024,"88,628",108,85,89,79,74,108,95,86,"3,308",n.a.,"2,634","2,809","2,141","1,893","1,626",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
82.,FOOD SERVICE SP. Z O.O.,1011,2024,"88,369",186,85,88,111,90,186,204,233,-608,"-3,551",5,5,-608,"-3,551",5,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
83.,INDUSTRIAS MADRILENAS DE LA CARNE SA,1011,2024,"87,912",69,85,88,91,73,69,69,72,"1,710","1,118",978,"1,043","1,170",453,342,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84.,LINDEN FOODS BURRADON,1011,2022,"86,665",68,78,87,47,42,68,64,56,612,644,792,862,290,455,462,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
85.,CORVEDALE FRESH LIMITED,1011,2024,"86,657",113,81,87,84,80,113,111,107,"1,329","3,112","2,888","2,999",861,"2,570","2,403",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
86.,PLUIMVEESLACHTERIJ GEBR. HEIJS B.V.,1012,2022,"86,134",73,81,86,60,56,73,76,77,n.a.,n.a.,n.a.,n.a.,"2,500",640,-216,Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87.,BRUNO SIEBERT,1012,2024,"85,553",249,82,86,84,80,249,n.a.,n.a.,"6,717","5,841","5,761","6,145","4,882","4,068","4,160",Controlled subs.,n.a.,n.a.,"20,637","21,440","20,445","22,592","18,857","20,113",25.06,24.29,23.63
88.,AASHEIM KJOETT AS,1011,2024,"85,505",24,82,86,76,64,24,22,24,"4,230","3,513","3,621","3,862","4,008","3,348","3,478",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
89.,ZAKLAD DROBIARSKI LECH-DROB SP. Z O.O.,1012,2024,"85,137",385,82,85,85,85,385,389,380,"4,296","3,243","10,779","11,496","4,296","3,243","10,779",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
90.,HOLA FOOD SOCIEDAD LIMITADA.,1011,2024,"84,597",186,81,85,72,64,186,179,181,"1,958","1,404",872,930,"1,394",880,347,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
91.,ETABLISSEMENTS JEAN CHAPIN,1011,2024,"84,577",91,76,85,84,58,91,106,155,"-1,893",500,"1,088","1,372","-2,673",-297,420,Controlled subs.,n.a.,n.a.,962,"1,066","1,263","1,373","3,077","3,881",1.26,1.50,5.32
92.,"SAVIBEL - SOCIEDADE AVICOLA, S.A.",1012,2024,"84,154",161,81,84,77,68,161,153,135,"7,244","4,442","2,400","2,560","6,331","3,529","1,476",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
93.,IMEX POLAND SP. Z O.O.,1012,2024,"83,742",155,81,84,72,72,155,155,169,"1,710","1,922","2,095","2,235",437,708,"1,166",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94.,"TAMASI-HUS HUSIPARI, KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG",1011,2024,"83,737",572,81,84,86,92,572,487,458,"1,844","5,844","7,671","8,182","-1,903","2,163","4,480",Independent co,n.a.,n.a.,"42,578","44,234","49,495","54,692","54,471","58,098",52.83,57.84,59.08
95.,"ICM - INDUSTRIAS DE CARNES DO MINHO, S.A.",1011,2024,"83,334",226,80,83,63,74,226,196,245,"2,107",800,"1,195","1,274","1,336",43,544,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96.,ARYZTA BAKERIES IRELAND UNLIMITED COMPANY,1011,2024,"83,236",264,80,83,123,87,264,245,242,"4,732","6,050","10,818","11,032","-2,567","-5,466","3,046",Controlled subs.,n.a.,n.a.,"56,770","58,978","98,048","108,343",n.a.,n.a.,70.86,79.76,n.a.
97.,MIELEWCZYK SP. Z O.O.,1012,2023,"83,146",105,75,83,91,62,105,304,282,"4,943","9,661","5,424","6,143","4,008","7,380","3,101",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98.,CARNES SELECTAS 2000 SA,1011,2024,"82,931",876,80,83,77,75,876,883,845,"8,572","9,351","7,753","8,270","3,145","3,547","2,076",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
99.,ATRIA-CHICK OY,1012,2024,"82,330",655,79,82,70,59,655,589,399,"1,449",448,310,331,"1,443",443,304,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
100.,INTERNATIONAL CASING PRODUCTS SLU,1011,2024,"81,727",62,79,82,90,79,62,63,57,"3,953","10,544","18,154","19,363","2,116","8,773","16,358",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
101.,"KILOM - SOCIEDADE AGRICOLA E PECUARIA DA QUINTA DOS LOMBOS, S.A.",1012,2024,"80,790",148,78,81,72,65,148,158,166,"2,596","3,262","4,288","4,574",-219,"1,416","3,718",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
102.,AXEL ANDERSEN AS,1011,2024,"80,641",48,78,81,77,76,48,48,45,"2,405","1,444","1,797","1,917","2,148","1,178","1,501",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103.,HIGHBURY POULTRY FARM PRODUCE LIMITED,1012,2024,"80,446",172,74,80,66,61,172,167,159,"1,615","1,309","1,547","1,683",946,716,930,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
104.,SERTRADEC PRODUCTION MEAT SL,1011,2023,"79,933","1,596",72,80,60,36,"1,596","1,751","1,572",701,873,653,740,654,838,633,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
105.,ALVIKSGAARDEN LANTBRUKS AB,1011,2024,"79,848",291,77,80,77,71,291,292,279,"2,741","1,353","2,441","2,604",-201,"-1,966",-648,GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
106.,SECADEROS DE ALMAGUER SA,1011,2024,"79,772",513,77,80,73,69,513,472,405,"12,874","15,651","8,422","8,983","2,155","4,471","-3,123",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
107.,SABIEDRIBA AR IEROBEZOTU ATBILDIBU REZEKNES GALAS KOMBINATS,1011,2024,"79,626",549,77,80,73,65,549,532,543,754,"1,945","1,526","1,628",754,"1,945","1,526",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
108.,EUROPA CUISSON,1012,2024,"79,589",87,77,80,72,80,87,91,75,"5,420","5,520","9,290","9,909","3,221","3,566","7,295",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
109.,FRIGORIFICOS CARNICOS LAS FORCAS SL,1011,2024,"79,292",101,76,79,76,70,101,97,91,"2,162","2,190","1,543","1,646","1,126","1,141",455,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
110.,GREENFIELD FOODS LIMITED,1012,2024,"79,105",113,76,79,69,54,113,106,109,"6,008","8,103","2,925","3,120","5,104","7,301","2,215",Controlled subs.,n.a.,n.a.,"1,944","2,019","2,661","2,941","2,891","3,083",2.55,3.87,5.31
111.,CASTELFRIGO LV S.R.L.,1011,2024,"79,087",91,76,79,88,70,91,86,76,804,"1,704","4,893","5,219","-1,568",282,"4,211",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
112.,ALEC JARRETT LIMITED,1011,2024,"77,812",74,75,78,73,80,74,75,74,8,"1,550","1,798","1,948",-532,"1,071","1,365",Independent co,n.a.,n.a.,"3,490","3,627","4,939","5,353","13,204","14,304",4.66,6.80,16.60
113.,SEAN LOUGHNANE (GALWAY) LIMITED,1011,2024,"77,499",235,75,77,n.a.,n.a.,235,n.a.,n.a.,"5,757",n.a.,n.a.,n.a.,"4,312",n.a.,n.a.,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
114.,GOLFERA IN LAVEZZOLA S.P.A.,1011,2024,"77,024",80,74,77,69,68,80,82,82,"7,511","6,997","9,961","10,624","1,496","1,993","5,932",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
115.,ISTERMEAT A.S.,1011,2024,"76,916",146,74,77,64,58,146,138,112,"2,001","1,972","2,224","2,372",580,476,616,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
116.,"MATADERO GUIJUELO, SA",1011,2024,"75,409",200,73,75,65,64,200,205,214,"3,455","2,779","5,926","6,321","2,004","1,360","4,527",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
117.,KAMINIARZ SP. Z O.O.,1011,2024,"75,194",221,72,75,66,5,221,224,190,"14,963","15,776",934,997,"13,689","14,429",789,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
118.,J G PEARS (NEWARK) LIMITED,1011,2025,"74,228",301,65,74,58,62,301,294,311,n.a.,n.a.,n.a.,n.a.,"5,510","4,326","2,383",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
119.,DELMOND FOIES GRAS,1012,2025,"73,934",163,63,74,68,56,163,178,183,"-1,161","2,201","5,296","5,754","-2,512",809,"3,194",Controlled subs.,n.a.,n.a.,104,122,122,130,553,601,0.17,0.18,1.00
120.,ER-DROB SP. Z O.O.,1012,2023,"73,735",42,68,74,56,36,42,42,44,"2,206","2,805","1,557","1,851","1,628","2,421","1,138",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
121.,AGRO MEAT SP. Z O.O.,1012,2024,"73,107",73,70,73,66,58,73,65,61,"2,382","3,395","3,343","3,565","2,249","3,249","3,229",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
122.,MIELEWCZYK.PRO SP. Z O.O.,1012,2023,"72,753",192,66,73,n.a.,n.a.,192,n.a.,n.a.,"3,181",n.a.,n.a.,n.a.,"1,817",n.a.,n.a.,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
123.,PLUDIS,1012,2024,"72,605",26,70,73,61,53,26,26,23,919,912,717,765,729,752,565,Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
124.,LIPTON SOFT DRINKS IRELAND LIMITED,1011,2024,"72,232",21,70,72,72,69,21,21,22,"3,763","3,821","3,605","3,845","3,129","3,045","3,120",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
125.,CDS HACKNER GMBH,1011,2024,"71,655",256,69,72,79,94,256,264,274,"3,431","3,261","3,023","3,225",924,586,350,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
126.,DROP S.A.,1012,2024,"70,540",195,68,71,93,92,195,199,207,-374,"9,087","15,646","16,688","-2,048","7,325","14,014",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
127.,NEWBURGH FOODS LIMITED,1012,2024,"70,472",152,68,70,51,46,152,92,93,"3,810","2,914","2,754","2,937","2,837","1,914","2,378",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
128.,CARNICAS IRUNA SA.,1011,2024,"70,352",39,68,70,59,39,39,37,38,"2,869",-24,-328,-350,"1,736","-1,052",-454,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
129.,DAMAK FOOD SP. Z O.O.,1012,2024,"69,966",91,67,70,58,40,91,87,94,"10,879","7,303","3,960","4,223","9,371","6,051","3,169",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
130.,DOHERTY & GRAY LIMITED,1011,2024,"69,925",92,65,70,53,52,92,91,86,733,628,337,366,465,338,74,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
131.,WESTERN BRAND POULTRY PRODUCTS LIMITED,1012,2023,"69,755",185,63,70,54,50,185,219,235,"8,368","7,798","6,251","7,670","7,357","6,282","4,726",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
132.,"TRIPERU - SOCIEDADE DE PRODUCAO E COMERCIALIZACAO DE AVES, S.A.",1012,2024,"69,494",260,67,69,68,68,260,225,240,"2,336","1,398","2,156","2,300",653,58,"1,276",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
133.,INGRA BROZZI - S.P.A.,1011,2024,"69,432",92,67,69,69,87,92,92,99,"12,652","12,313","7,568","8,072","10,949","10,529","5,931",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
134.,VANDENBOGAERDE,1011,2024,"69,297",114,67,69,62,55,114,118,125,"1,878","1,814","1,766","1,884",963,976,943,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
135.,STEAM COOK TERMELO ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,1012,2024,"68,984",328,66,69,56,43,328,211,217,"7,113","4,739","5,467","5,831","4,130","2,323","4,404",Independent co,n.a.,n.a.,"38,455","39,951","17,549","19,391","11,027","11,761",57.91,31.32,25.58
136.,BONI MESOKOMBINAT RUSE,1011,2024,"68,636",273,66,69,91,74,273,272,277,n.a.,"2,245","1,363","1,453",n.a.,"1,850",977,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
137.,WD FOODS SP. Z O.O.,1011,2024,"68,540",91,66,69,64,39,91,64,61,"1,650","3,061",170,182,"1,074","2,861",125,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
138.,PODOLSKI WOJCIECH SP.K.,1012,2024,"68,369",156,66,68,64,63,156,146,145,"7,097","5,826","6,094","6,500","6,152","4,917","5,307",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
139.,NYHLENS HUGOSONS AB,1011,2024,"68,071",205,66,68,65,61,205,180,169,137,n.a.,n.a.,n.a.,-915,"-1,096",-192,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
140.,SARIA POLSKA SP. Z O.O.,1011,2024,"67,901",504,65,68,59,69,504,482,458,"-1,850","-3,987","3,722","3,970","-6,105","-7,542",749,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
141.,AVICOLA MARIA SA,1011,2024,"67,664",122,65,68,56,52,122,124,124,"2,459","1,723","1,419","1,513",705,528,355,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
142.,DOMIDENE COM SRL,1011,2024,"67,554",522,65,68,56,44,522,464,429,"4,613","2,881","2,253","2,403","4,059","2,450","1,900",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
143.,SAFIR SRL,1012,2024,"67,427",546,65,67,65,55,546,553,495,"6,172","3,187","3,836","4,091","4,077","1,570","2,277",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
144.,KARRO FOOD FROZEN LIMITED,1011,2024,"67,018",290,62,67,64,58,290,390,379,"5,261","4,261","6,028","6,555","4,377","3,437","7,462",Controlled subs.,n.a.,n.a.,315,340,304,329,143,156,0.51,0.48,0.25
145.,EURO DONER POLAND SP. Z O.O.,1011,2024,"65,822",475,63,66,67,60,475,460,462,"2,600","4,753","4,544","4,846","1,607","3,781","3,599",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
146.,TORSAASEN FAAGELPRODUKTER AB,1012,2025,"65,751",117,58,66,55,61,117,113,115,"1,886","1,832",-528,-579,548,564,"-1,602",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
147.,ETABLISSEMENTS BODIN ET FILS,1012,2024,"65,499",32,63,65,65,68,32,n.a.,161,"7,834","4,577","4,636","4,945","7,802","2,468","4,112",Controlled subs.,n.a.,n.a.,"8,817","9,159","6,448","7,125","8,063","8,600",13.98,10.00,11.90
148.,CARNITALIA SRL,1011,2024,"65,482",29,63,65,64,60,29,29,28,"4,590","5,986","4,219","4,500","2,655","3,946","2,037",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
149.,IRISH BACON SLICERS LIMITED,1011,2024,"65,380",75,63,65,69,58,75,72,56,"1,723","1,951","2,338","2,494","1,067","1,339","1,807",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"57,899","61,755",n.a.,n.a.,100.00
150.,PAPAI HUS KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"64,949",590,63,65,68,53,590,606,596,"-7,869","-8,510","-9,491","-10,123","-7,869","-8,510","-9,491",Independent co,n.a.,n.a.,"1,495","1,553","1,604","1,773","1,172","1,250",2.39,2.35,2.22
151.,H.J. HEINZ COMPANY (IRELAND) LIMITED,1011,2024,"64,688",24,62,65,58,50,24,24,17,"9,059","5,077","5,531","5,899","8,975","4,995","5,428",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
152.,GALLIANCE DINDE,1012,2024,"64,328",183,62,64,50,52,183,n.a.,n.a.,"-4,320","-1,468","-3,020","-3,221","-5,856","-3,093","-4,806",Controlled subs.,n.a.,n.a.,0,0,0,0,35,38,0.00,0.00,0.07
153.,AGRAIMPEX WEGRZYNOWO SP. Z O.O.,1011,2024,"64,075",128,62,64,67,89,128,138,137,-409,-224,"2,270","2,421","-1,153",-977,"1,620",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
154.,PIVKA PERUTNINARSTVO D.D.,1012,2024,"63,722",443,61,64,59,56,443,430,416,"4,496","4,077","3,135","3,343","2,290","1,989","1,302",Controlled subs.,n.a.,n.a.,"11,892","12,355","11,727","12,958","10,725","11,440",19.39,19.77,19.10
155.,SIA KURZEMES GALSAIMNIEKS,1011,2024,"63,698",473,61,64,60,52,473,470,486,713,741,973,"1,038",713,741,973,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
156.,SCHILDERMANS PLUIMVEESLACHTERIJ EN VLEESVERWERKING,1012,2024,"63,487",63,61,63,56,48,63,60,56,"5,380","5,221","1,899","2,026","3,442","4,172","1,130",Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
157.,STE LIONOR SA,1012,2024,"62,899",204,60,63,62,63,204,214,n.a.,"3,583","3,994","3,046","3,234","2,073","2,794","1,936",Controlled subs.,n.a.,n.a.,"1,900","1,978","1,860","2,014","2,073","2,202",3.15,2.99,3.30
158.,ZAKLADY MIESNE NOVE SP. Z O.O.,1011,2024,"61,678",282,59,62,58,50,282,282,299,"-1,340",-688,"-1,196","-1,276","-2,094","-1,521","-2,114",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
159.,"ZAKLAD PRZEMYSLU MIESNEGO DROBALEKS SP.J. K. SMIESZNY, M. MROCZKOWSKA",1012,2024,"61,251",158,59,61,44,41,158,164,165,"2,778","1,957","2,865","3,056","1,921","1,143","2,283",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
160.,CARNES DE TERUEL SA,1011,2024,"60,898",157,59,61,59,51,157,152,143,"1,999",-740,-685,-731,967,"-1,727","-1,602",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
161.,ANA & CORNEL SRL,1011,2024,"60,162",774,58,60,50,51,774,772,724,"7,107","6,979","7,106","7,579","4,925","5,311","5,709",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
162.,SOCIETE LESAGE ET FILS,1011,2022,"60,137",94,55,60,44,25,94,n.a.,n.a.,"6,048","4,061","1,727","2,025","5,283","3,387","1,162",Controlled subs.,n.a.,n.a.,"6,432","6,995","6,361","7,061","3,272","3,837",11.63,14.51,13.29
163.,MOSER SRL,1011,2024,"60,061",100,58,60,53,50,100,97,94,"1,858","1,609","2,390","2,549","1,078",746,"1,379",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
164.,GRUPO ALIMENTARIO DE LORCA SLU,1011,2024,"60,058",162,58,60,59,56,162,150,152,"1,103","1,101","1,310","1,398",109,61,202,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
165.,MATADERO FRIGORIFICO MONTES DE TOLEDO S.C.L.,1011,2022,"59,971",109,56,60,35,27,109,101,89,"1,097","1,048",874,"1,073",515,498,329,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
166.,HERMI CARNE DE CONEJO SL.,1011,2024,"59,921",85,58,60,61,58,85,88,80,"3,748","4,284","1,926","2,054","2,924","3,536","1,437",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
167.,PODTATRANSKA S.R.O.,1012,2024,"59,746",279,58,60,42,0,279,307,n.a.,76,155,n.a.,n.a.,43,142,-1,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
168.,INDUSTRIALIZAREA CARNII (KOSAROM) SA,1011,2024,"59,541",559,57,60,57,49,559,545,530,"4,557","4,150","3,390","3,615","3,355","2,922","2,152",GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
169.,MIDT-NORGE SLAKTERI AS,1011,2024,"59,390",25,57,59,57,58,25,23,24,576,830,597,637,289,608,381,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
170.,CORNILLE,1011,2024,"58,690",66,56,59,22,18,66,n.a.,36,"5,000","4,404","4,745","6,249","2,887","2,253",742,Controlled subs.,n.a.,n.a.,"39,996","41,552","8,709","12,820","7,685","10,122",70.80,40.07,43.07
