,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
19.,FATLAND OSLO AS,1011,2024,"119,196",83,115,119,129,125,83,67,63,"-2,008",47,-207,-221,"-2,427",-320,-751,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20.,I. MAC S.R.L.,1011,2024,"118,512",77,114,119,110,99,77,77,80,"1,753","3,414","2,746","2,929","1,200","2,771","1,961",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21.,SLAGERIJ KALDENBERG B.V.,1011,2024,"118,075",210,114,118,108,82,210,205,211,n.a.,n.a.,n.a.,n.a.,"3,805","4,977","3,645",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22.,DELAVI,1011,2025,"117,585",49,100,118,92,84,49,48,53,"1,980","1,264",120,131,"1,001",509,-540,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23.,ARTISLACH,1012,2024,"117,432",32,113,117,103,106,32,31,31,"13,050","5,350","9,680","10,324","5,924",453,"7,583",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24.,COOKSGROVE LIMITED,1011,2024,"116,739",170,112,117,105,96,170,169,160,"1,874","1,674","2,087","2,226",791,705,"1,100",Independent co,n.a.,n.a.,"35,459","36,838","39,082","43,185","33,449","35,676",31.56,37.27,34.79
25.,SA - CAR S.R.L.,1011,2024,"114,512",30,110,115,99,97,30,30,32,"1,794","1,474","1,277","1,362",886,592,323,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26.,SALA DE DESFER I MAGATZEM FRIGORIFIC J VINAS SA,1011,2024,"113,792",122,110,114,100,97,122,123,113,"3,098","2,730","3,893","4,152","1,964","1,720","2,818",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27.,JUTAR SP. Z O.O.,1011,2024,"113,269",113,109,113,123,94,113,n.a.,122,"2,222","2,154","2,927","3,122","1,588","1,598","2,450",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28.,DOLY-COM DISTRIBUTIE SRL,1011,2024,"112,424",467,108,112,88,74,467,450,437,"4,068","2,282","2,545","2,714","2,730","1,370","1,755",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
